BusinessID,anurag,alisa,dixin,ronnie (haining),minyi,anthony,vignesh,alex,tuan ,yuxuan,bingjie,xiaoran,ruixuan,hongbo,chen,jimmy,keerat,yulin
1A139710,32005.02489,2137960,452916.8,222104.31,3997582.372,2938996.758,2107.95,451541.82,6638.14778,1184994.1,254772.7463,277793.8273,34689.96106,80459.56505,38167.76133,315967.7837,196394.1459,45331
7A139830,25180.84472,1595440,367164.1,159732.73,3997582.372,1736408.139,3704.96,332558.14,4565.899654,1292578.2,193757.1854,216583.9986,42690.81655,43661.55399,69396.96406,2535482.078,196426.4693,18882
6A139905,6936.57765,764200,165148,84693.44,3997582.372,2838798.471,139072.95,177604.01,2113.282291,958257.2,83580.18934,95077.61443,60593.81664,40334.89174,49881.67997,2332730.541,154682.5407,104546
2A139938,1313.039789,2651320,678040.2,210210.8,3997582.372,2208686.842,2150.96,602715.59,2402.310632,1388646.8,318237.2954,363654.6753,35092.89425,44509.43062,49300.25214,614032.7183,5000,41913
8A140030,57926.59716,3173320,699672.8,329611.53,3997582.372,911586.1534,2717.85,625051.19,12055.36626,1382929.2,384687.0936,432003.2988,26477.14204,76309.99701,77258.6099,445659.3526,108318.704,45976
2A140189,11180.43167,1488160,328414.5,119558.55,3997582.372,1680442.161,3228.92,303336.69,1949.454178,1186728,171475.1383,197917.7709,40003.17877,31683.86469,52428.91809,2166620.305,1117400,66902
8A140190,1250.000002,1000,1839580.6,1100525.4,3997582.372,1810036.458,3970.31,1559625.03,2840.002091,1693688,818489.9004,935827.9527,44668.04994,42407.95825,40855.30489,3237511.451,1035500,42044
6A140343,15951.82984,1719640,475013,233231.08,3997582.372,2803062.099,5498.87,448918.49,2536.611989,1244869,210497.6005,231382.0812,35487.31244,48111.53253,76022.29186,699288.9041,1089400,44730
6A140483,22648.6078,4290400,1168861.5,491062.72,3997582.372,731502.7579,3315.97,936326.5,2640.708831,1475517.8,517071.8655,579069.6106,39346.57203,69703.76359,70860.97946,165692.3721,100477.5215,64539
5A140532,45444.62754,4528000,1175762.5,365884.5,3997582.372,1505532.245,12948.1,971306.53,4768.128486,1581141.8,556444.185,630049.9004,42333.89395,49200.42249,60816.69411,242750.158,90171.96031,56288
3A140606,1250,2449720,563885.8,150547.8,3997582.372,605953.5634,4832.14,522301.88,2214.944825,1429711.9,285013.7453,327015.14,26847.64047,77348.9822,53795.61794,870992.8794,817300,23860
9A140668,17704.55494,1000,470571.1,283661.03,3997582.372,1824252.009,3463.78,346302.04,1885.318369,1057579.9,186725.1285,211729.8937,25731.45149,40933.49383,55071.15689,1286991.061,156597.9841,58462
3A140823,1250.000001,4299040,926466.4,791182.4,3997582.372,2419844.641,3146.42,1080177.81,2220.866392,1502876.1,518146.914,569825.7671,41391.21754,53123.07099,72952.31693,309764.2289,915900,56998
8A140953,1250,4920040,1310377.6,172226,3997582.372,4153161.677,1701.07,1027723.22,2667.011464,1631029.5,593986.609,750590.1768,39596.44421,31798.47689,32599.16032,334414.5255,1097400,59341
1A141046,11111.26095,1538200,345870,266830.38,3997582.372,1328364.344,1891.41,358053.76,2142.434348,1291687,180000.72,209856.9286,35132.71529,36235.9648,63067.66549,1239025.117,211796.8598,48541
4A141470,1250,1000,659017,265726.44,3997582.372,1275895.459,2150.73,514883.32,1876.388515,1145063,274718.5655,347427.3209,59870.73185,44989.03364,50215.71894,837726.1424,5000,40875
5A141540,1250.000001,4055680,1098142.5,748083.75,3997582.372,1696322.723,8644.83,1063773.53,3464.36812,1359380.2,489476.9115,551173.3724,61073.2869,80311.77471,67682.7924,341227.5579,5000,41117
4A141604,35466.58594,4080160,966534.3,316359.62,3997582.372,2744721.146,1866.98,861355.37,3673.025416,1470821.9,504883.8211,567938.162,47024.79881,59946.44548,74878.24849,395482.2123,5000,40913
5A141704,1250,1925920,444870.4,148635.48,3997582.372,1546618.388,2449.09,386306,2682.864568,1147124.1,233731.6527,236157.3348,54889.98715,38693.57584,85215.72822,3067022.094,1027100,24302
